Country,GDP (Nominal),GDP (PPP) ($T),Growth (2025),Debt (% GDP),Inflation,Reserves ($Bn),Military ($Bn),CPI Score,HDI,Key Sector,Flag,Currency Name,Currency Code,Population (B/M),Pop. Growth,Median Age,Urban %,Labor Force,Exports ($Bn),Imports ($Bn),Trade Balance,Current Account (% GDP),Date
USA,$30.62 ,$31.82 ,2.00%,120.80%,2.20%,$910 ,$997.00 ,69,0.938,Services,????,United States Dollar,USD,349 M,0.50%,39,84%,63%,"3,250","4,120",-870 (Deficit),-3.60%,2026
China,$19.40 ,$43.49 ,4.80%,102.30%,1.50%,"$3,456 ",$314.00 ,42,0.788,Industry,????,Yuan (Renminbi),CNY,1.41 B,-0.10%,40.1,66%,67%,"3,750","2,980",+770 (Surplus),2.80%,2026
Germany,$5.01 ,$6.55 ,0.20%,66.00%,2.20%,$377 ,$88.50 ,78,0.95,Industry,????,Euro,EUR,84 M,0.10%,46,78%,61%,"1,780","1,490",+290 (Surplus),5.10%,2026
Japan,$4.28 ,$19.32 ,1.10%,250%,2.50%,"$1,231 ",$50.20 ,73,0.92,Industry,????,Japanese Yen,JPY,122 M,-0.60%,49.5,92%,63%,820,895,-75 (Deficit),3.60%,2026
India,$4.13 ,$6.92 ,6.60%,83.00%,4.60%,$643 ,$86.10 ,39,0.644,Services,????,Indian Rupee,INR,1.47 B,0.80%,29.5,37%,56%,825,960,-135 (Deficit),-1.40%,2026
UK,$3.96 ,$4.59 ,1.30%,101.30%,2.30%,$174 ,$81.80 ,71,0.94,Services,????,Pound Sterling,GBP,68 M,0.30%,41,85%,63%,"1,020","1,150",-130 (Deficit),-3.00%,2026
France,$3.36 ,$4.31 ,0.70%,119.60%,2.00%,$282 ,$61.30 ,71,0.91,Services,????,Euro,EUR,65 M,0.20%,42.5,82%,56%,680,790,-110 (Deficit),-0.20%,2026
Italy,$2.54 ,$3.44 ,0.50%,140.00%,1.90%,$290 ,$35.50 ,56,0.895,Industry,????,Euro,EUR,58 M,-0.30%,48.1,72%,50%,695,650,+45 (Surplus),1.00%,2026
Russia,$2.54 ,$7.34 ,0.60%,24.80%,7.00%,$597 ,$149.00 ,22,0.821,Energy,????,Russian Ruble,RUB,143 M,-0.20%,40.5,76%,62%,490,330,+160 (Surplus),1.60%,2026
Brazil,$2.26 ,$2.81 ,2.20%,85.00%,4.00%,$329 ,$22.90 ,34,0.76,Agriculture,????,Brazilian Real,BRL,218 M,0.40%,34.5,88%,62%,360,275,+85 (Surplus),-2.30%,2026
Canada,$2.23 ,$5.12 ,1.20%,106.00%,2.10%,$119 ,$27.20 ,76,0.935,Services,????,Canadian Dollar,CAD,40 M,1.10%,41.5,82%,65%,655,662,-7 (Deficit),-1.30%,2026
Spain,$1.89 ,$3.49 ,1.50%,107.00%,2.30%,$107 ,$22.00 ,60,0.911,Services,????,Euro,EUR,47 M,0.10%,45.5,81%,58%,430,465,-35 (Deficit),2.60%,2026
Mexico,$1.86 ,$3.68 ,1.80%,49.00%,3.50%,$232 ,$11.80 ,26,0.758,Industry,????,Mexican Peso,MXN,131 M,0.60%,30.5,82%,60%,610,625,-15 (Deficit),-1.30%,2026
S. Korea,$1.86 ,$2.94 ,2.00%,54.00%,2.00%,$418 ,$47.90 ,63,0.929,Industry,????,South Korean Won,KRW,51 M,-0.10%,46.1,82%,64%,685,640,+45 (Surplus),3.90%,2026
Australia,$1.83 ,$2.14 ,1.90%,52.00%,2.80%,$65 ,$32.30 ,75,0.946,Mining,????,Australian Dollar,AUD,27 M,1.20%,38,87%,67%,385,310,+75 (Surplus),-1.70%,2026
Turkiye,$1.57 ,$5.36 ,3.00%,34.00%,25%,$154 ,$16.00 ,34,0.855,Industry,????,Turkish Lira,TRY,86 M,0.50%,33.1,78%,54%,273,335,-62 (Deficit),-1.30%,2026
Indonesia,$1.44 ,$3.98 ,5.00%,39.00%,2.50%,$155 ,$9.50 ,34,0.728,Industry,????,Indonesian Rupiah,IDR,287 M,0.70%,30.2,59%,68%,295,240,+55 (Surplus),-1.20%,2026
Netherlands,$1.32 ,$1.58 ,1.20%,48.00%,2.10%,$79 ,$16.60 ,79,0.946,Trade,????,Euro,EUR,18 M,0.30%,43.5,93%,71%,910,820,+90 (Surplus),1.20%,2026
Saudi Arabia,$1.27 ,$2.85 ,4.00%,31.80%,2.00%,$463 ,$80.30 ,59,0.875,Energy,????,Saudi Riyal,SAR,38 M,1.40%,31.8,85%,61%,390,225,+165 (Surplus),-2.50%,2026
Poland,$1.04 ,$2.12 ,3.20%,53.00%,3.50%,$223 ,$28.00 ,53,0.881,Industry,????,Polish Zloty,PLN,40 M,-0.30%,43,61%,57%,385,370,+15 (Surplus),-0.80%,2026
